,input,output,instruction,context,DistilBERT_pred,MobileBERT_pred
3228,The deal includes an option for Cramo to buy out the minority stake in 2011 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The deal includes an option for Cramo to buy out the minority stake in 2011 .
Answer: ",neutral,neutral
3230,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .
Answer: ",negative,neutral
3234,The duration of the contract is 37 months .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The duration of the contract is 37 months .
Answer: ",neutral,neutral
3236,The ECB can mainly target inflation .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The ECB can mainly target inflation .
Answer: ",neutral,neutral
3242,The executive group will participate in the adjustments with a fixed-term 5 % salary cut .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The executive group will participate in the adjustments with a fixed-term 5 % salary cut .
Answer: ",positive,neutral
3251,The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum .
Answer: ",neutral,neutral
3255,"The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco .
Answer: ",neutral,neutral
3261,The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .
Answer: ",neutral,neutral
3266,The handset maker did not disclose any financial details .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The handset maker did not disclose any financial details .
Answer: ",neutral,neutral
3267,"The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal .
Answer: ",neutral,neutral
3272,The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .
Answer: ",neutral,neutral
3278,"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .
Answer: ",neutral,neutral
3281,"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .
Answer: ",neutral,neutral
3283,"The maximum obligated total trades per day is ISK 400,000,000 market value .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The maximum obligated total trades per day is ISK 400,000,000 market value .
Answer: ",neutral,neutral
3284,The medium-term operative targets of the company remain unchanged .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The medium-term operative targets of the company remain unchanged .
Answer: ",neutral,neutral
